filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Hybrid Recommender,rec.recommender.ranking.topn=10    rec.hybrid.lambda=0.1    rec.recommender.isranking=true,16:58:52 AEDT 04-10-2017,16:59:05 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPR Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.recommender.ranking.topn=10    rec.learnRate.bolddriver=false    rec.recommender.isranking=true    rec.item.regularization=0.01    rec.iterator.maximum=100    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.learnRate.decay=1.0,17:00:03 AEDT 04-10-2017,17:02:51 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BUCM Recommender,rec.pgm.burnin=10    rec.bucm.alpha=0.01    rec.recommender.ranking.topn=10    rec.recommender.isranking=true    rec.pgm.samplelag=10    rec.pgm.topic.number=10    rec.iterator.maximum=100    rec.bucm.gamma=0.01    rec.bucm.beta=0.01,17:00:03 AEDT 04-10-2017,17:02:56 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,CLIMF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.001    rec.recommender.ranking.topn=10    rec.recommender.isranking=true    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01,17:00:03 AEDT 04-10-2017,17:08:58 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,EALS Recommender,rec.factor.number=32    rec.recommender.ranking.topn=10    rec.eals.wrmf.judge=1    rec.eals.overall=128    rec.eals.ratio=0.4    rec.recommender.isranking=true    rec.item.regularization=0.01    rec.iterator.maximum=20    rec.user.regularization=0.01    rec.wrmf.weight.coefficient=1.0,17:00:03 AEDT 04-10-2017,17:09:00 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01,20:28:56 AEDT 04-10-2017,20:29:00 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.givenn.user=13    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01,20:31:02 AEDT 04-10-2017,20:31:07 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.givenn.item=13    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01,20:31:02 AEDT 04-10-2017,20:31:07 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01,20:31:02 AEDT 04-10-2017,20:31:08 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.givenn.user=13    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01,20:32:19 AEDT 04-10-2017,20:32:35 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.givenn.item=13    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01,20:32:19 AEDT 04-10-2017,20:32:35 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,Biased MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=10    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.bias.regularization=0.01    rec.iterator.learnrate.maximum=0.01,20:32:19 AEDT 04-10-2017,20:32:35 AEDT 04-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:35:38 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.02    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:35:42 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.03    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:35:47 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.04    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:35:51 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.05    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:35:56 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.060000000000000005    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:00 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.07    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:05 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.08    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:09 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:14 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09999999999999999    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:18 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:21 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.02    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:24 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.03    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:27 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.04    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:31 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.05    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:34 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.060000000000000005    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:37 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.07    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:40 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.08    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:43 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:46 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.item=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09999999999999999    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:49 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:54 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.02    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:36:59 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.03    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:37:04 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.04    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:37:09 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.05    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:37:14 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.060000000000000005    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:37:19 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.07    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:37:24 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.08    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:37:29 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:37:34 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.user=0.8    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.09999999999999999    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.1    rec.recommender.verbose=true,18:34:59 AEDT 05-10-2017,18:37:38 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.01    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:13:28 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.02    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:13:32 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.03    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:13:37 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.04    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:13:42 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.05    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:13:46 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.060000000000000005    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:13:50 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.07    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:13:55 AEDT 05-10-2017,
filmtrust-rating,data.column.format=UIR    data.splitter.ratio.userfixed=0.5    data.convert.binarize.threshold=Don't binarize.,BPoiss MF Recommender,rec.factor.number=10    rec.iterator.learnrate=0.08    rec.item.regularization=0.01    rec.learnrate.decay=1.0    rec.iterator.maximum=100    rec.learnrate.bolddriver=false    rec.user.regularization=0.01    rec.iterator.learnrate.maximum=0.01    rec.recommender.verbose=true,19:13:17 AEDT 05-10-2017,19:14:00 AEDT 05-10-2017,
